conversationTitle,tapeNumber,conversationNumber,identifier,startDateTime,endDateTime,startDate,startTime,endDate,endTime,dateCertainty,timeCertainty,participants,description,locationCode,recordingDevice,latitudeEstimated,longitudeEstimated,collection,collectionURL,chronCode,chronRelease,chronReleaseDate,aogpRelease,aogpSegment,digitalAccess,physicalAccess,contactEmail,lastModified
Conversation 039-032,39,32,37-wht-conversation-039-032,1973-05-29T13:48:00-04:00,1973-05-29T13:52:00-04:00,29-May-1973,1:48 PM,29-May-1973,1:52 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 29, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 1:48 pm and 1:52 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-032 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-033,39,33,37-wht-conversation-039-033,1973-05-29T13:52:00-04:00,1973-05-29T13:54:00-04:00,29-May-1973,1:52 PM,29-May-1973,1:54 PM,certain,certain,"Nixon, Richard M. (President); Bull, Stephen B.;","On May 29, 1973, President Richard M. Nixon and Stephen B. Bull talked on the telephone from 1:52 pm to 1:54 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-033 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-034,39,34,37-wht-conversation-039-034,1973-05-29T21:15:00-04:00,1973-05-29T21:15:00-04:00,29-May-1973,9:15 PM,29-May-1973,9:15 PM,certain,certain,"Nixon, Richard M. (President); White House operator;","On May 29, 1973, President Richard M. Nixon and White House operator talked on the telephone at 9:15 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-034 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-035,39,35,37-wht-conversation-039-035,1973-05-29T21:23:00-04:00,1973-05-29T21:25:00-04:00,29-May-1973,9:23 PM,29-May-1973,9:25 PM,certain,certain,"White House operator; Nixon, Richard M. (President); Haig, Alexander M., Jr.;","On May 29, 1973, White House operator, President Richard M. Nixon, and Alexander M. Haig, Jr. talked on the telephone from 9:23 pm to 9:25 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-035 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-036,39,36,37-wht-conversation-039-036,1973-06-03T16:14:00-04:00,1973-06-03T18:07:00-04:00,3-Jun-1973,4:14 PM,3-Jun-1973,6:07 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On June 3, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 4:14 pm and 6:07 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-036 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-037,39,37,37-wht-conversation-039-037,1973-06-03T18:07:00-04:00,1973-06-03T18:36:00-04:00,3-Jun-1973,6:07 PM,3-Jun-1973,6:36 PM,certain,certain,"Nixon, Richard M. (President); Ziegler, Ronald L.;","On June 3, 1973, President Richard M. Nixon and Ronald L. Ziegler talked on the telephone from 6:07 pm to 6:36 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-037 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-038,39,38,37-wht-conversation-039-038,1973-06-03T18:36:00-04:00,1973-06-03T18:40:00-04:00,3-Jun-1973,6:36 PM,3-Jun-1973,6:40 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On June 3, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 6:36 pm and 6:40 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-038 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-039,39,39,37-wht-conversation-039-039,1973-06-03T18:40:00-04:00,1973-06-03T18:41:00-04:00,3-Jun-1973,6:40 PM,3-Jun-1973,6:41 PM,certain,certain,"Nixon, Richard M. (President); Ziegler, Ronald L.;","On June 3, 1973, President Richard M. Nixon and Ronald L. Ziegler talked on the telephone from 6:40 pm to 6:41 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-039 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-040,39,40,37-wht-conversation-039-040,1973-06-03T18:41:00-04:00,1973-06-03T18:47:00-04:00,3-Jun-1973,6:41 PM,3-Jun-1973,6:47 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On June 3, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 6:41 pm and 6:47 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-040 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-041,39,41,37-wht-conversation-039-041,1973-06-03T18:47:00-04:00,1973-06-03T18:47:00-04:00,3-Jun-1973,6:47 PM,3-Jun-1973,6:47 PM,certain,certain,"White House operator; Nixon, Richard M. (President);","On June 3, 1973, White House operator and President Richard M. Nixon talked on the telephone at 6:47 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-041 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-042,39,42,37-wht-conversation-039-042,1973-06-03T18:47:00-04:00,1973-06-03T18:48:00-04:00,3-Jun-1973,6:47 PM,3-Jun-1973,6:48 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On June 3, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 6:47 pm and 6:48 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-042 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-043,39,43,37-wht-conversation-039-043,1973-06-03T18:48:00-04:00,1973-06-03T18:48:00-04:00,3-Jun-1973,6:48 PM,3-Jun-1973,6:48 PM,certain,certain,"White House operator; Nixon, Richard M. (President);","On June 3, 1973, White House operator and President Richard M. Nixon talked on the telephone at 6:48 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-043 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-044,39,44,37-wht-conversation-039-044,1973-06-03T18:48:00-04:00,1973-06-03T19:06:00-04:00,3-Jun-1973,6:48 PM,3-Jun-1973,7:06 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On June 3, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 6:48 pm and 7:06 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-044 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-045,39,45,37-wht-conversation-039-045,1973-06-03T19:06:00-04:00,1973-06-03T19:09:00-04:00,3-Jun-1973,7:06 PM,3-Jun-1973,7:09 PM,certain,certain,"Nixon, Richard M. (President); Ziegler, Ronald L.;","On June 3, 1973, President Richard M. Nixon and Ronald L. Ziegler talked on the telephone from 7:06 pm to 7:09 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-045 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
